OBJECTID,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,GEOID10_1,PICK_GEOID,BGPICKLIST,BGTITLE,GEOID_NUM,POPDENS,SWTORD,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,AREA_SQMI,LUDIVERSE,R_AVGYR,PCTSSI,POP,PCTLATINO,PCTWH_NL,PCTBLK_NL,PCTASIANNL,PCTOTHERNL,RE_DIVERSE,MEDAGE,PctUnd18,Pct65Up,MHI,PCI,PCTRENT,PCTUNFRENT,PCTUNFOWN,PCTC30,PCTDRALONE,PCTBIKEWK,PCTWLKWK,PCTWRKHM,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,TREE_PCT,IMP_PCT,id,AREA_SQMI_,CVALPSM_12,RVALPSM_12,ACODEV_12,WCODEV_12,RCODEV_12
151,63,980100,1,370640000000,Block Group 1,370640000000,153 - 370639801001,"153 - Tract: 980100, BG: 1",153 - 9801001,370640000000,0,5.5,0,4,0,8.23584,55.8,0,0,4,75,0,25,0,0,50,54.5,25,0,0.00,0.00,0,0,0,0,100,0,0,0,0,0,0,0,71,17,0,0,151,8.23584,10200908.00,198043.00,0,0,0
1,63,2007,2,370630000000,Block Group 2,370630000000,101 - 370630020072,"101 - Tract: 002007, BG: 2",101 - 0020072,370630000000,1795,27.2,9,41,4,1.28474,12.6,1982,0,2306,6.4,57.5,29,4.1,3,58,49.7,20.2,13.1,61538.00,43006.00,32.4,37.3,41.0999985,23.5,82.3,0,7.3,5.6,24.3,15.5,24.3,24.3,81,11,65,20.2,1,1.28474,18612.00,218233.00,0.4,0.4,0.1
2,63,301,3,370630000000,Block Group 3,370630000000,10 - 370630003013,"10 - Tract: 000301, BG: 3",10 - 0003013,370630000000,7484,88.8,89,267,30,0.10114,14.1,1950,0.9,757,18,58,16.6,3,4.4,60.2,35.2,18.8,4.6,43375.00,29498.00,71,30.7,28.7000008,36.1,50.5,8.3,12,6.9,0,0,0,100,53,11,68.1,27.8,2,0.10114,0.00,5229636.00,0,1.6,0.6
3,63,2100,3,370630000000,Block Group 3,370630000000,149 - 370630021003,"149 - Tract: 002100, BG: 3",149 - 0021003,370630000000,97,0,1,2,0,19.48518,42.5,1978,4.4,1899,3.5,81.4,13.1,0.4,1.6,31.9,51.8,19.6,17,79188.00,48043.00,13.2,11.8,29.3999996,48.8,84.8,0,0,2.5,0,0,0,0,0,0,0,0,3,19.48518,0.00,37733.00,0,0,0
4,63,1502,2,370630000000,Block Group 2,370630000000,47 - 370630015022,"47 - Tract: 001502, BG: 2",47 - 0015022,370630000000,15353,31,135,165,60,0.06669,40.8,2006,1.9,1024,7.8,63.6,2.3,23.3,2.9,53.5,26.2,2.1,0.3,11960.00,16322.00,1,70.6,0,9.6,46.6,0,42.2,0,0,0,100,100,106,22,24,67,4,0.06669,3622319.00,1124483.00,0,0,0
5,63,1900,2,370630000000,Block Group 2,370630000000,99 - 370630019002,"99 - Tract: 001900, BG: 2",99 - 0019002,370630000000,123,1.5,0,1,0,17.25084,32.2,1994,2.1,2118,5.6,76.8,12.2,3.5,1.9,39.1,36.7,20.9,9.5,80424.00,39445.00,14.5,19.5,23.7000008,35,87.2,0,0,5.5,0,0,0,0,0,0,0,0,5,17.25084,0.00,57460.00,0,0,0
6,63,1900,1,370630000000,Block Group 1,370630000000,98 - 370630019001,"98 - Tract: 001900, BG: 1",98 - 0019001,370630000000,81,0.8,0,3,0,9.04629,43,1965,10.2,729,7.8,83.4,5.2,2.5,1.1,29.5,59.4,18,20.3,51875.00,38671.00,15.6,0,37.2999992,23.8,82.2,0,0,4.5,0,0,2.8,0,0,0,0,0,6,9.04629,107924.00,36345.00,0,0,0
7,63,700,1,370630000000,Block Group 1,370630000000,25 - 370630007001,"25 - Tract: 000700, BG: 1",25 - 0007001,370630000000,2000,115.8,70,298,56,0.35892,61.9,1928,7.2,718,6,51.8,38.3,1.5,2.4,58.2,48.3,7.5,22.7,20221.00,22229.00,85.4,69.7,51.2000008,20.7,59.9,7.9,6.4,4.1,15.6,0,79.9,100,809,180,30.9,49.7,7,0.35892,6932608.00,2363039.00,0.6,1.4,0.6
8,63,1601,1,370630000000,Block Group 1,370630000000,51 - 370630016011,"51 - Tract: 001601, BG: 1",51 - 0016011,370630000000,188,11.1,2,5,0,5.96772,28.6,1983,0,1124,5.4,72.4,17.2,2.6,2.4,44.2,46.8,18.8,23,78611.00,34005.00,13,26.8,38.9000015,52.8,71.5,0,0,13.6,0,0,0,0,0,0,0,0,8,5.96772,67926.00,337286.00,0,2.1,0
9,63,1604,1,370630000000,Block Group 1,370630000000,58 - 370630016041,"58 - Tract: 001604, BG: 1",58 - 0016041,370630000000,1029,16.8,1,14,0,1.92322,15.2,1987,1.3,1979,3.9,79.1,11.3,3.2,2.4,35.9,46.1,21.7,18.5,79861.00,40606.00,5,100,20.5,31.4,76.8,1.6,0,9.7,0,0,0,0,0,0,76.6,12.8,9,1.92322,0.00,167117.00,0.3,0.9,0.1
